Period,Open,High,Low,Close
2018-04-30,3.3,3.4,3.06,3.2
2018-05-01,3.3,3.4,3.3,3.4
2018-05-02,3.4,3.4,3.2,3.3
2018-05-03,3.2,3.35,3.2,3.25
2018-05-04,3.35,3.5,3.35,3.43
2018-05-07,3.6,3.85,3.6,3.75
2018-05-08,3.7,3.73,3.6,3.65
2018-05-09,3.5,4.04,3.5,4.0
2018-05-10,4.12,4.15,4.09,4.11
2018-05-11,4.0,4.0,3.8,3.9
2018-05-14,4.06,4.3,4.06,4.2
2018-05-15,4.25,4.35,4.25,4.35
2018-05-16,4.5,4.8,4.5,4.66
2018-05-17,4.57,4.7,4.57,4.7
2018-05-18,4.55,4.96,4.55,4.83
2018-05-21,4.9,4.97,4.64,4.71
2018-05-22,4.8,4.85,4.54,4.75
2018-05-23,4.82,4.82,4.75,4.78
2018-05-24,4.87,5.0,4.76,5.0
2018-05-25,4.97,5.2,4.97,5.12
2018-05-29,5.05,5.25,4.9,5.0
2018-05-30,5.2,5.46,5.2,5.32
2018-05-31,5.3,5.45,5.15,5.36
2018-06-01,5.5,5.9,5.5,5.8
2018-06-04,6.24,6.3,6.05,6.3
2018-06-05,6.35,6.35,6.2,6.28
2018-06-06,6.54,7.0,6.54,6.9
2018-06-07,7.0,7.19,6.3,6.3
2018-06-08,6.5,6.8,6.0,6.8
2018-06-11,6.0,7.12,6.0,7.12
2018-06-12,6.95,7.11,6.75,7.1
2018-06-13,7.24,7.7,7.24,7.55
2018-06-14,7.7,8.0,7.41,7.5
2018-06-15,7.4,7.7,7.4,7.6
2018-06-18,7.74,8.55,7.74,8.35
2018-06-19,8.5,8.5,7.72,7.95
2018-06-20,8.0,8.0,7.6,7.9
2018-06-21,7.9,8.1,6.95,6.95
2018-06-22,7.4,7.4,7.0,7.2
2018-06-25,6.7,7.0,6.15,6.62
2018-06-26,6.9,6.9,6.7,6.7
2018-06-27,7.0,7.1,6.45,6.5
2018-06-28,6.45,6.8,6.45,6.8
2018-06-29,6.75,6.75,6.5,6.5
2018-07-02,6.3,6.55,6.3,6.55
2018-07-03,6.7,6.7,6.5,6.5
2018-07-05,6.65,6.9,6.65,6.9
2018-07-06,7.3,8.05,7.3,8.05
2018-07-09,7.7,7.7,7.51,7.7
2018-07-10,7.82,7.85,7.75,7.8
2018-07-11,7.6,7.8,7.6,7.65
2018-07-12,7.8,7.93,7.8,7.85
2018-07-13,7.95,7.95,7.5,7.5
2018-07-16,8.0,8.15,7.8,8.0
2018-07-17,7.84,8.05,7.84,8.05
2018-07-18,8.15,8.15,7.8,8.0
2018-07-19,7.9,8.01,7.9,7.9
2018-07-20,7.8,8.0,7.75,7.75
2018-07-23,7.36,7.84,7.36,7.84
2018-07-24,8.0,8.0,7.4,7.55
2018-07-25,8.04,8.04,7.1,7.3
2018-07-26,8.17,9.4,8.17,9.3
2018-07-27,9.8,10.5,9.45,9.9
